GAME_ID,Date,HomeTeam,AwayTeam,HomeSpread_AtOpen,HomeSpread_AtClose,Over_AtOpen,Over_AtClose,HomeML,AwayML,2H_HomeSpread,2H_Over
0020700001,2007-10-30 00:00:00,SAS,POR,-12.5,-13.0,184.0,189.5,-1400,900,-5.0,95.0
0020700003,2007-10-30 00:00:00,GSW,UTA,-3.0,-1.0,214.5,212.0,-120,100,-3.0,105.5
0020700002,2007-10-30 00:00:00,LAL,HOU,2.5,5.0,191.0,199.0,190,-230,3.0,99.0
0020700004,2007-10-31 00:00:00,TOR,PHI,-6.5,-6.5,190.0,191.0,-305,255,-2.0,96.5
0020700006,2007-10-31 00:00:00,IND,WAS,-1.5,1.5,200.0,203.5,105,-125,1.0,105.0
0020700005,2007-10-31 00:00:00,ORL,MIL,-8.0,-6.5,198.5,197.0,-295,245,-3.5,97.0
0020700007,2007-10-31 00:00:00,NJN,CHI,-2.0,-1.5,188.0,186.0,-125,105,3.0,94.0
0020700008,2007-10-31 00:00:00,CLE,DAL,3.0,2.5,186.0,184.0,120,-140,-4.0,91.5
0020700009,2007-10-31 00:00:00,MEM,SAS,7.0,6.5,198.0,201.0,210,-250,4.0,99.5
0020700010,2007-10-31 00:00:00,NOH,SAC,-10.0,-9.5,193.0,190.5,-525,425,-1.5,94.0
0020700011,2007-10-31 00:00:00,DEN,SEA,-10.5,-11.5,213.0,217.5,-825,625,-6.5,107.5
0020700012,2007-11-01 00:00:00,MIA,DET,4.0,4.0,181.0,178.5,160,-190,0.0,89.5
0020700013,2007-11-01 00:00:00,UTA,HOU,-3.5,-3.0,191.0,193.0,-160,140,-3.5,98.5
0020700014,2007-11-01 00:00:00,SEA,PHX,9.0,12.0,223.0,224.5,575,-725,9.0,112.5
0020700015,2007-11-02 00:00:00,CHA,MIL,-2.5,-4.0,200.0,196.5,-170,150,-4.0,96.5
0020700016,2007-11-02 00:00:00,ORL,DET,-2.5,-4.0,184.0,183.5,-170,150,-4.5,93.5
0020700017,2007-11-02 00:00:00,IND,MIA,-6.5,-6.5,186.5,192.0,-275,235,-4.0,96.5
0020700018,2007-11-02 00:00:00,NJN,TOR,-5.0,-4.0,192.5,193.5,-175,155,-6.0,96.0
0020700019,2007-11-02 00:00:00,ATL,DAL,6.0,5.5,192.0,191.0,210,-250,5.0,94.5
0020700020,2007-11-02 00:00:00,CLE,NYK,-7.5,-6.0,186.5,186.0,-250,210,-4.0,94.0
0020700021,2007-11-02 00:00:00,BOS,WAS,-6.0,-7.5,208.0,205.5,-335,285,2.5,105.0
0020700022,2007-11-02 00:00:00,NOH,POR,-8.0,-7.5,192.0,203.0,-325,275,-2.0,102.5
0020700023,2007-11-02 00:00:00,MIN,DEN,8.5,7.5,209.0,208.5,315,-375,6.5,104.0
0020700024,2007-11-02 00:00:00,CHI,PHI,-9.5,-9.5,189.0,190.0,-500,400,-7.0,94.0
